elapsed_s,mean,min,max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,line_label
25.0,78231.80076628352,78231.80076628352,78231.80076628352,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
26.0,77390.97022094141,77390.97022094141,77390.97022094141,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
27.0,78629.55854126679,78629.55854126679,78629.55854126679,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
28.1,80630.51823416507,80630.51823416507,80630.51823416507,0.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
29.1,80452.44956772335,80452.44956772335,80452.44956772335,1.0,0.0,hard,8,1,5000,hard_p8_w1_i5000
30.2,83981.74831892412,83981.74831892412,83981.74831892412,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
31.2,84742.55523535064,84742.55523535064,84742.55523535064,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
32.2,86456.29202689722,86456.29202689722,86456.29202689722,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
33.3,83938.52065321806,83938.52065321806,83938.52065321806,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
34.3,84439.11792905082,84439.11792905082,84439.11792905082,0.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
35.4,84682.64621284755,84682.64621284755,84682.64621284755,1.0,0.0,hard,8,1,5000,hard_p8_w1_i5000
36.4,86046.93486590037,86046.93486590037,86046.93486590037,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
37.5,87849.47267497603,87849.47267497603,87849.47267497603,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
38.5,88845.63758389262,88845.63758389262,88845.63758389262,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
39.6,88438.69731800766,88438.69731800766,88438.69731800766,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
40.6,87348.70317002882,87348.70317002882,87348.70317002882,0.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
41.6,90592.52157238736,90592.52157238736,90592.52157238736,1.0,0.0,hard,8,1,5000,hard_p8_w1_i5000
42.7,90159.46205571566,90159.46205571566,90159.46205571566,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
43.7,90029.69348659004,90029.69348659004,90029.69348659004,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
44.8,89893.5762224353,89893.5762224353,89893.5762224353,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
45.8,93075.87548638132,93075.87548638132,93075.87548638132,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
46.8,90332.37271853987,90332.37271853987,90332.37271853987,0.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
47.9,93331.4121037464,93331.4121037464,93331.4121037464,1.0,0.0,hard,8,1,5000,hard_p8_w1_i5000
48.9,96191.1623439001,96191.1623439001,96191.1623439001,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
50.0,94224.78386167147,94224.78386167147,94224.78386167147,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
51.0,95428.16091954023,95428.16091954023,95428.16091954023,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
52.0,94609.0297790586,94609.0297790586,94609.0297790586,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
53.1,92480.34515819751,92480.34515819751,92480.34515819751,0.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
54.1,95445.72526416907,95445.72526416907,95445.72526416907,1.0,0.0,hard,8,1,5000,hard_p8_w1_i5000
55.2,99219.34865900382,99219.34865900382,99219.34865900382,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
56.2,96932.75696445726,96932.75696445726,96932.75696445726,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
57.3,96952.06136145734,96952.06136145734,96952.06136145734,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
58.3,97006.71140939598,97006.71140939598,97006.71140939598,0.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
59.3,94180.07662835249,94180.07662835249,94180.07662835249,1.0,0.0,hard,8,1,5000,hard_p8_w1_i5000
60.4,99900.28763183126,99900.28763183126,99900.28763183126,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
61.4,99278.57829010568,99278.57829010568,99278.57829010568,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
62.5,99334.61169702781,99334.61169702781,99334.61169702781,1.0,1.0,hard,8,1,5000,hard_p8_w1_i5000
