elapsed_s,mean,min,max,tracking_prob,repartitioning_prob,storage_type,partitions,paths,interval,line_label
10.4,165915.54702495201,165915.54702495201,165915.54702495201,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
11.4,164558.5412667946,164558.5412667946,164558.5412667946,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
12.5,166658.34932821497,166658.34932821497,166658.34932821497,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
13.5,164983.68522072936,164983.68522072936,164983.68522072936,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
14.5,163022.07293666026,163022.07293666026,163022.07293666026,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
15.6,165133.3973128599,165133.3973128599,165133.3973128599,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
16.6,162326.29558541265,162326.29558541265,162326.29558541265,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
17.7,161836.85220729365,161836.85220729365,161836.85220729365,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
18.7,162433.4928229665,162433.4928229665,162433.4928229665,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
19.8,161614.42307692306,161614.42307692306,161614.42307692306,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
20.8,161853.44827586206,161853.44827586206,161853.44827586206,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
21.8,157681.73076923075,157681.73076923075,157681.73076923075,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
22.9,151037.3921380633,151037.3921380633,151037.3921380633,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
23.9,164299.03846153847,164299.03846153847,164299.03846153847,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
25.0,164738.00383877158,164738.00383877158,164738.00383877158,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
26.0,162584.45297504799,162584.45297504799,162584.45297504799,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
27.0,161181.3819577735,161181.3819577735,161181.3819577735,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
28.1,162052.783109405,162052.783109405,162052.783109405,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
29.1,163400.19193857964,163400.19193857964,163400.19193857964,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
30.2,165302.30326295586,165302.30326295586,165302.30326295586,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
31.2,160606.52591170825,160606.52591170825,160606.52591170825,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
32.3,165794.4284341979,165794.4284341979,165794.4284341979,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
33.3,162558.9645254075,162558.9645254075,162558.9645254075,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
34.3,161059.558117195,161059.558117195,161059.558117195,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
35.4,163534.99520613617,163534.99520613617,163534.99520613617,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
36.4,166777.35124760077,166777.35124760077,166777.35124760077,1.0,1.0,engine,1,1,0,engine_p1_w1_i0
